EL1: Electronic Ladder,A1: RELIB_PCR2_100,B1: RELIB_PCR2_50,C1: RELIB_PCR2_10
674.1353,1.068424,1.989099,1.744001
856.5067,0.6441936,2.096965,1.539815
1040.548,0.3791493,2.179824,1.471195
1203.43,0.5845849,2.319497,1.226893
1332.576,0.821263,2.417209,1.198839
1403.335,0.951162,2.284352,1.163272
1403.358,1.01276,2.095239,1.321653
1340.25,1.113168,1.817324,1.417711
1227.441,1.061999,1.736535,1.429655
1089.867,1.085827,1.713243,1.633441
941.1884,1.214862,1.844529,1.739463
795.4849,1.326356,2.096307,1.7106
653.4949,1.271837,2.074094,1.790585
525.0286,1.121723,2.108992,1.721336
410.4384,0.9989592,1.800995,1.695045
309.8818,0.8584244,1.622136,1.849675
233.8028,0.8809674,1.487962,1.733241
178.8429,0.9710974,1.465253,1.702158
139.7781,1.135898,1.51686,1.808813
112.5669,1.03691,1.492416,1.783037
92.67191,0.896291,1.582137,1.664711
76.92639,0.6464055,1.473272,1.572829
64.35856,0.4673449,1.443724,1.695141
54.64034,0.348023,1.453681,1.677323
47.71083,0.3024814,1.437516,1.512226
41.61587,0.4886962,1.409326,1.769002
37.00911,0.5735251,1.331081,1.838785
33.60212,0.6137908,1.125595,1.753264
31.29087,0.6987993,1.157479,1.617658
28.29332,0.8663802,1.26122,1.425255
25.92593,1.045236,1.278785,1.411753
23.71667,1.051494,1.363525,1.250309
20.94135,1.189002,1.410891,1.206425
18.84369,1.056696,1.379994,1.317695
16.51134,0.8770784,1.165337,1.463112
13.11796,0.7781041,0.8574573,1.636206
9.823904,0.7090464,0.698791,1.6103
8.270146,0.6440996,0.6039112,1.482422
6.773168,0.6551819,0.6351205,1.421856
5.323789,0.7199156,0.707261,1.242661
4.236238,0.84123,0.7192398,1.115764
3.312989,0.777685,0.7095256,1.081976
1.97845,0.8816594,0.402975,1.154166
1.495029,1.020753,0.3050908,1.067983
1.8524,1.063976,0.4771738,1.081708
2.785835,1.086938,0.3002292,1.400164
3.546025,1.106445,0.458092,1.283209
3.609609,1.119718,0.7366407,1.202465
4.260798,1.07444,0.663249,1.056905
3.210544,0.8835681,0.5618777,0.9783731
2.841228,0.872939,0.5428237,0.8148934
2.910125,0.8884369,0.3887023,0.8990749
3.542055,0.6794994,0.09285897,1.189638
2.684864,0.5946771,0.361302,1.266447
2.182441,0.6231651,0.80129,1.187089
2.157324,0.6765481,0.8532187,1.187421
2.095801,0.712227,1.024643,1.326989
3.892096,1.01072,0.9426816,1.431045
4.321333,1.057365,0.8533885,1.280471
4.743145,1.025668,0.6828958,1.005733
4.615432,1.037454,0.7761911,0.8967401
4.786418,0.9732164,0.9773965,0.6650826
5.024575,0.8644907,0.8889213,0.5357719
5.795376,0.8659249,1.013615,0.7175
7.359511,0.9119879,0.9729146,0.9028547
8.536392,0.9382555,0.9123179,0.8599354
10.39374,0.6642585,0.6551815,0.6631497
12.49841,0.5161951,0.4112228,0.5127104
14.59801,0.27637,0.5017084,0.5126525
16.7569,0.001378034,0.4253358,0.5697157
19.67417,0.1050883,0.3687489,0.825936
22.78531,0.3891885,0.2415665,0.8873809
25.86732,0.4967414,0.1827172,0.7672653
29.88084,0.9761505,0.1606039,0.7115115
34.07059,1.236619,0.08306003,0.583277
40.24644,1.337462,0.3850821,0.5290206
56.57711,1.256075,0.659716,0.5314171
99.96732,1.216072,0.5723284,0.598351
185.5953,1.134265,0.359278,0.5854153
