EL1: Electronic Ladder,A1: RT,B1: MaP-RT
171.9225,3.310583,1.799593
135.5446,3.266421,1.255754
111.1219,3.135692,0.6599655
93.61108,3.073344,0.2056157
79.49522,2.73881,0.04829443
68.58897,2.362246,0.06608906
61.32854,1.373668,0.02694778
57.33812,1.208033,0
55.84924,1.263481,0.07913374
54.65956,1.229115,0.5990065
53.13929,1.05031,0.7055148
51.23261,0.4169813,0.9751366
50.70898,0.4386427,0.9643353
51.5904,0.1245178,0.4554461
51.36481,0,0.07369398
52.30573,0,0
53.52208,0,0.01887998
54.49644,0,0.1283534
55.21217,0,0.01962603
57.37453,0.01415326,0
59.09025,0,0
65.22016,0,0
83.18151,0,0
132.3314,0,0
226.727,0,0
386.477,0,0
599.7041,0,0
876.6273,1.184553,1.947975
1176.932,8.276091,6.500431
1450.107,16.84357,11.27148
1647.711,25.73696,16.16711
1733.179,35.6659,20.55373
1697.714,45.33141,24.41054
1572.537,54.06506,28.14262
1416.32,63.62002,31.11249
1250.716,76.21563,34.77398
1082.903,90.88527,41.36639
908.1409,111.6472,53.19049
730.5415,138.9618,70.09058
551.2128,170.5446,90.98984
397.5558,202.0359,114.6109
277.3781,227.2014,135.3235
197.0129,239.5116,148.2787
146.0984,236.8137,152.3776
115.6505,223.8821,148.0137
99.37486,202.7437,135.0543
88.64868,182.6712,119.169
81.75513,167.1802,104.0193
78.03007,159.8293,91.44087
76.05424,161.7457,83.60253
75.12924,175.6132,83.17996
72.87169,201.1625,90.05315
72.3952,231.4263,103.5891
73.22313,262.1323,121.387
73.77426,280.8763,137.991
73.99376,281.6437,148.5133
79.12731,264.9246,149.7229
97.37922,237.096,142.6002
136.8221,204.0818,129.1283
213.9659,171.1155,112.8134
347.2532,142.2664,96.78432
538.5511,118.1149,82.0414
798.1165,98.12687,69.27618
1098.705,83.02305,57.48331
1405.077,72.16203,48.00246
1657.77,65.12262,40.76066
1797.508,60.90821,35.02555
1826.954,59.8357,31.88573
1756.153,63.19316,32.29693
1611.161,73.58094,36.87137
1434.629,90.10645,45.62923
1245.046,113.294,59.37675
1039.521,138.9811,76.84389
827.4648,164.3409,96.45105
629.1326,188.2127,113.466
453.1428,212.7036,125.3001
310.4334,244.2982,131.6303
212.3479,300.4355,133.4405
148.9956,382.4583,135.5307
111.5916,510.9763,148.0967
89.89645,703.1443,178.7354
74.61399,954.6456,228.6769
65.1655,1241.831,300.0378
57.37255,1519.881,383.4937
52.14178,1740.198,468.3316
46.75249,1833.052,538.5208
43.7015,1816.971,584.2697
40.24426,1697.61,598.9399
37.62397,1506.867,577.5914
36.32081,1283.622,530.4059
34.59985,1054.351,464.4296
34.1765,837.7325,388.349
34.02173,644.9633,314.3877
35.11987,489.1752,247.8146
36.60774,365.2699,189.2482
39.21387,269.3322,141.9297
42.62607,197.0585,104.5904
46.04728,141.4368,76.49154
48.97171,102.7397,55.33708
51.35125,76.59013,42.13027
52.81575,57.39942,34.20529
54.04784,46.55458,28.21311
56.58368,39.3024,24.16666
59.22499,33.03057,20.55086
61.05902,28.96921,17.6277
63.37008,25.48007,15.1538
66.10762,22.76333,13.46808
66.75735,19.41697,11.95477
67.12554,16.36157,10.39955
67.31252,14.15429,8.897291
66.21577,12.19356,7.740041
65.32882,10.01626,6.716003
67.09447,8.056232,5.676963
69.80573,6.628273,5.015601
74.58688,5.162579,4.431162
93.13271,4.123698,3.938219
154.94,3.291158,3.6864
291.2877,2.569555,3.412162
