A1: Ladder,A2: PTREseq_DNA_UTR,B2: PTREseq_RNA_UTR,C2: ABAB_DNA_UTR,D2: ABAB_RNA_UTR,E2: PTREseq_DNA_FULL,F2: PTREseq_RNA_FULL,G2: ABAB_DNA_FULL,H2: ABAB_RNA_FULL
211.5438,233.0546,258.0465,1421.941,244.5256,281.8322,279.5804,225.5307,252.3254
263.2608,281.1278,308.6091,1750.955,292.4968,334.9751,335.2198,272.3293,302.406
325.84,338.8731,366.7628,2128.535,348.5673,395.8731,401.6713,328.5599,359.238
400.5042,406.0033,433.4054,2581.274,415.1706,466.4777,477.9684,389.3716,423.6205
482.0967,481.334,511.5864,3106.626,490.1242,546.8718,559.0008,457.1307,497.0146
573.3873,566.4039,593.145,3702.191,572.676,633.5203,652.7847,538.6945,577.1368
676.4313,659.5219,679.0238,4367.516,662.9225,726.9538,757.2145,629.1738,662.8688
795.4302,761.6009,768.4466,5111.263,759.3558,825.3528,871.0353,728.008,753.2303
922.7828,869.6713,863.6077,5936.662,860.9148,925.5411,990.6487,830.4091,847.6821
1059.231,979.7539,963.0161,6732.049,966.9705,1027.089,1118.728,937.9528,941.3734
1196.162,1091.152,1065.754,7573.532,1069.447,1125.5,1244.583,1046.976,1032.484
1329.471,1198.797,1166.866,8406.958,1168.9,1218.239,1360.613,1156.55,1120.869
1452.83,1302.615,1259.071,9213.488,1260.038,1299.298,1470.049,1267.731,1202.381
1565.428,1395.411,1339.758,9964.216,1339.824,1366.708,1568.235,1371.632,1270.737
1663.921,1474.674,1407.659,10667.3,1410.052,1423.606,1652.142,1458.426,1328.779
1746.658,1539.615,1465.613,11233.87,1467.492,1465.901,1718.818,1529.034,1372.057
1791.792,1582.479,1503.211,11595.13,1511.818,1500.136,1759.615,1572.484,1403.693
1817.012,1611.896,1527.325,11839.58,1537.065,1512.719,1781.522,1601.017,1421.528
1821.082,1619.147,1531.515,11933.16,1547.626,1512.207,1780.504,1611.497,1424.719
1802.386,1610.955,1520.587,11879.02,1545.633,1497.424,1760.569,1604.08,1414.659
1764.096,1585.861,1497.148,11681.43,1524.373,1462.165,1723.202,1574.637,1391.886
1709.047,1541.899,1456.024,11364.77,1489.729,1415.597,1667.788,1524.434,1350.041
1631.776,1480.379,1404.348,10910.38,1438.752,1356.949,1596.147,1459.48,1301.176
1531.672,1407.726,1334.278,10383.66,1373.799,1287.369,1508.933,1373.914,1243.025
1411.779,1322.461,1256.465,9755.812,1298.24,1203.677,1408.642,1281.127,1171.998
1286.658,1230.709,1171.582,9107.313,1211.375,1116.943,1301.611,1187.791,1094.325
1163.723,1133.382,1085.98,8367.377,1125.567,1027.022,1187.523,1084.377,1009.711
1042.021,1038.604,998.2364,7600.024,1034.113,936.5536,1072.783,979.7672,918.0061
929.2792,941.1944,909.6581,6789.435,941.5108,846.0645,956.9871,872.8401,825.2923
819.8005,843.8868,821.8757,6002.095,848.0049,758.0274,841.5781,767.6202,733.8065
718.7867,750.8187,732.8653,5255.824,758.8362,671.4539,738.5259,667.8104,647.5391
624.8646,658.3912,648.5653,4570.001,672.6402,589.1538,640.124,577.2696,566.2831
538.1439,574.3564,570.2441,3970.744,590.2114,513.9921,550.6808,498.5222,491.9111
465.4713,498.9035,497.5338,3425.807,516.017,443.0974,472.2253,427.8409,424.3319
402.5902,436.4452,430.1235,2994.041,447.8943,383.4118,407.4347,367.4409,363.2962
348.9742,382.7269,373.8773,2596.548,388.1711,331.3615,352.0763,316.4787,308.872
303.5775,337.8744,326.7496,2268.623,336.3048,285.7947,304.9431,274.9308,263.8755
265.917,298.8544,287.0962,2005.967,293.9738,248.4836,266.7132,241.2436,227.8578
237.0141,264.9615,254.8812,1774.638,259.1949,218.5816,233.7071,213.8163,198.1927
213.1921,234.1075,229.6731,1581.541,230.7523,195.1741,203.9975,190.5048,173.639
193.5046,207.852,205.6066,1426.772,205.6756,175.8164,179.8514,170.0466,153.2185
175.8245,187.3751,185.0536,1294.195,184.4937,160.0511,161.3096,153.1153,136.0322
160.0246,169.2921,167.8418,1180.586,166.1899,146.8535,147.047,138.5845,121.0049
144.9834,154.3382,152.6009,1082.01,150.684,135.0776,135.4413,125.9962,108.0735
130.4734,141.9113,139.6052,995.4729,137.284,123.9059,124.6378,114.3577,98.10366
117.4222,130.6614,128.2477,912.9487,125.9318,113.4224,114.6952,103.3793,89.15134
105.806,120.1465,118.2081,835.3714,115.1917,104.3304,104.8512,93.49669,81.342
95.76689,110.5873,109.2162,772.9348,105.9845,96.03252,95.0384,84.29388,74.65337
87.0268,101.8472,101.1097,714.8746,97.85931,88.78062,86.83488,76.88271,68.26952
79.73878,93.66794,93.32767,662.8958,90.59225,82.35418,79.81633,70.76087,62.49725
72.96091,86.39698,86.21159,617.8021,84.33895,76.56504,73.67773,65.74704,56.43845
67.24928,80.57561,79.73006,571.7889,78.37427,71.41246,68.17957,61.0488,51.20325
62.41536,75.00004,74.18906,524.8381,72.89941,66.96786,63.31741,57.05414,45.75911
58.38976,70.18916,69.47782,480.818,67.28915,62.78028,59.43217,52.93798,40.53516
54.53087,66.49617,65.10816,442.0866,63.46455,59.16256,55.28065,48.37108,36.59506
50.78487,63.07727,61.3508,405.4798,59.64696,56.11593,51.50445,44.86158,33.42244
47.63115,60.29338,57.62772,376.0887,56.6814,53.5807,48.06467,41.57072,30.75028
44.45119,57.64692,54.22017,350.6843,53.68304,51.27063,44.90832,38.90857,28.4142
41.43455,55.43396,51.08321,328.0952,51.07355,48.96154,41.8535,37.09736,26.1199
38.80386,52.41952,48.33239,306.6909,48.31039,46.58032,38.69023,34.99102,23.77775
36.32908,49.72633,45.81965,289.5182,45.66645,44.21012,36.30868,33.05428,21.20244
33.89554,47.7479,43.65259,272.1453,43.12768,42.06155,33.76324,31.20756,19.12219
31.87542,45.24162,41.55036,254.3093,40.65588,39.95008,31.44375,28.94818,17.34762
30.11364,43.40972,39.83406,236.1068,38.19937,38.18959,29.84792,26.28445,15.94049
28.30833,41.79955,38.33278,220.211,35.97583,36.81746,28.45212,24.38841,14.5008
26.79633,40.68108,36.84533,205.8161,34.04771,35.34258,26.82188,22.86854,13.80922
25.62941,39.24121,35.28437,193.8387,32.4282,34.07623,25.1812,21.37071,13.00435
24.38598,38.14833,33.80033,185.4819,31.10107,32.65907,23.679,19.98674,12.20735
23.22882,37.51392,32.17006,178.113,29.38675,31.61003,22.53415,18.82924,11.12511
22.21583,36.10217,30.98209,170.1763,27.74968,30.25548,21.2958,17.43636,10.19238
21.34041,34.48893,29.94098,160.5237,26.65426,29.04114,20.55131,15.99957,9.207163
20.10219,33.33756,29.15808,149.0692,25.41682,27.57961,19.53706,14.8989,8.354977
19.16001,32.55543,28.37551,139.2649,24.17786,26.15116,18.51767,13.86799,7.950686
18.54746,31.80627,27.29569,134.0918,23.07437,25.21488,17.56104,13.01166,7.698227
17.808,30.86703,26.17594,128.6566,22.00593,24.38887,16.41097,12.13462,7.312955
17.08271,30.135,25.19924,124.0477,20.82899,23.80451,15.63065,11.44131,6.963675
16.85006,28.97095,24.27873,119.7013,19.6667,23.44053,15.01067,10.95767,6.857478
16.17772,27.64746,23.46458,116.0884,18.74127,23.12961,14.48851,10.83152,6.6898
15.63545,26.70792,23.0084,110.9418,17.96052,22.64784,13.88153,10.49327,6.527627
14.72516,26.14576,22.55189,107.7156,17.17716,21.90149,13.5071,9.948524,6.331575
14.42069,25.81173,22.14385,106.083,16.69123,21.58723,13.26208,9.49504,6.181576
13.78039,25.1897,21.85285,104.4527,16.39854,21.27371,12.92552,9.089605,5.91531
13.46453,24.62675,21.52197,101.1039,16.08063,20.93712,12.5976,8.290181,5.743089
13.54305,24.00065,21.2171,98.02143,15.65077,20.67428,12.44869,7.959543,5.706247
13.57277,23.28351,20.55373,95.89803,15.13054,20.2187,11.93003,7.665354,5.555424
13.98566,22.34328,19.89939,92.61025,14.58845,19.83071,11.27395,7.53007,5.245752
13.21136,21.6344,19.24865,91.94417,13.98215,19.41157,10.97245,7.50007,5.155838
13.29066,21.23126,18.93395,89.31715,13.52509,19.25987,10.67496,7.020745,4.96063
13.28898,20.83337,18.56838,86.73082,13.21437,19.08271,10.42297,6.946877,4.922852
13.28156,20.14649,18.14045,83.04736,12.96731,19.0226,10.32231,6.381718,5.013038
13.80333,19.75834,17.75268,79.27854,12.67956,18.86673,10.34661,6.092078,5.022182
13.92596,19.27453,17.19579,77.81178,12.4735,18.46758,10.19044,5.733305,5.033947
14.75316,18.51272,16.47817,75.78584,12.59694,18.30915,9.943459,5.459662,5.019777
14.23621,18.10314,16.21844,76.29721,12.20495,18.07886,9.919953,5.711837,5.020238
13.3688,17.98987,15.90405,72.60397,11.99969,17.98791,9.432956,5.355892,4.962287
12.03079,17.80818,15.97504,69.86559,11.7956,17.77486,8.980776,5.564594,4.984764
10.5839,17.44406,15.76974,65.59507,11.44268,17.70727,8.730916,5.493252,5.148587
9.511545,17.25953,15.17899,62.09146,10.86317,17.60759,8.350923,5.560921,4.955351
8.405487,17.12374,14.6077,62.38334,10.58041,17.10256,8.034289,5.729719,4.82133
8.233157,16.32517,13.87409,64.5745,10.56173,16.6828,8.035903,5.535377,4.967147
8.388399,15.90429,13.38703,65.2032,10.29077,16.46216,7.689867,5.655067,4.981314
8.379324,15.39552,12.99881,64.04925,10.05835,16.16396,7.362511,5.497735,4.554385
8.289779,14.87184,12.92293,62.29644,10.08538,16.15397,6.936118,5.613358,4.660973
7.846936,14.56997,12.86309,59.85276,9.834618,16.10922,6.693182,5.257683,4.684043
7.459511,14.11477,12.65687,58.30318,9.569742,16.38539,6.229235,5.097208,4.449083
6.792876,13.73291,12.39005,60.39973,9.230028,16.23713,5.652215,5.422513,4.206204
6.353074,13.04817,12.22913,61.1833,9.020355,15.88291,5.552373,5.691392,4.076992
6.166452,12.8225,11.85381,56.67422,8.783415,15.54841,5.594171,6.232973,3.797722
6.234191,12.5957,11.47121,50.91267,8.677699,15.10943,6.064224,6.587798,3.559764
6.326444,12.45521,11.10009,48.44085,8.451853,14.69086,6.192459,6.927301,3.484713
6.56687,12.64474,10.84625,46.98528,8.228327,14.25155,6.16254,7.130846,3.696858
6.669214,12.5517,10.94777,46.52077,7.924016,13.92692,6.029601,7.341028,3.480232
6.812825,12.45775,10.77091,48.77219,7.661274,13.71504,5.761491,7.702681,3.502904
7.207703,12.31501,10.75731,49.57506,7.588799,13.44514,5.39244,7.95212,3.526003
7.754482,12.02534,10.5957,48.13955,7.526988,13.32804,4.969805,7.929695,3.330692
8.172379,11.594,10.23754,45.43114,7.800079,13.23396,4.743447,8.146948,3.200826
9.183734,10.69457,9.908569,47.68277,7.940137,13.14202,4.352481,8.449494,3.12057
12.00493,10.25883,9.552637,45.99167,8.20842,12.93787,4.150007,8.718431,3.11896
16.53286,9.796779,9.432808,44.15358,7.994921,12.70468,4.175947,8.649343,3.003123
23.96581,9.202856,9.174219,41.92036,7.80863,12.19758,4.246557,8.69598,2.822212
36.97879,9.335111,8.72718,40.39824,7.463544,11.7723,4.165857,8.698992,2.629599
56.9845,9.260278,8.537458,37.49364,6.904054,11.38098,4.022957,8.817603,2.122105
93.98016,9.123675,8.209746,35.56337,6.598711,11.16538,3.967607,9.232475,1.832377
160.4517,8.79215,8.098355,35.15826,6.686573,10.98117,3.658217,9.602005,1.703262
246.2085,8.901942,7.788777,33.59927,6.893742,10.87989,3.680022,9.994383,1.955791
337.7274,8.769543,7.517566,34.12522,7.094952,11.01077,3.677549,10.04761,2.282731
