reporter	best_category	count
AAAA_2	full_length	78
AAAA_2	PCR_chimera	66
AAAA_2	ambiguous_deletion	3
AAAA_3	ambiguous_deletion	4
AAAA_3	spacer_not_cloned	7
AAAA_3	full_length	102
AAAA_4	ambiguous_deletion	7
AAAA_4	full_length	393
AAAA_4	PCR_chimera	50
AAAA_5	PCR_chimera	3
AAAA_5	full_length	9
AAAA_5	spacer_not_cloned	5
AAAA_6	spacer_not_cloned	2
AAAA_6	PCR_chimera	79
AAAA_6	full_length	8
AAAA_7	PCR_chimera	69
AAAA_7	full_length	30
AAAA_7	spacer_not_cloned	5
AAAA_8	PCR_chimera	5818
AAAA_8	full_length	14
AAAA_8	ambiguous_deletion	5
AAAA_8	spacer_not_cloned	5
AAAA_9	full_length	60
AAAA_9	PCR_chimera	12
AAAB_1	PCR_chimera	221
AAAB_1	full_length	183
AAAB_1	spacer_not_cloned	2
AAAB_1	ambiguous_deletion	1
AAAB_10	spacer_not_cloned	2
AAAB_10	ambiguous_deletion	28
AAAB_10	full_length	108
AAAB_10	PCR_chimera	76
AAAB_2	full_length	30
AAAB_2	PCR_chimera	15
AAAB_2	ambiguous_deletion	1
AAAB_3	full_length	432
AAAB_3	PCR_chimera	68
AAAB_3	spacer_not_cloned	3
AAAB_4	PCR_chimera	12
AAAB_4	full_length	242
AAAB_5	PCR_chimera	272
AAAB_5	full_length	215
AAAB_5	ambiguous_deletion	1
AAAB_6	full_length	612
AAAB_6	PCR_chimera	76
AAAB_6	ambiguous_deletion	6
AAAB_7	PCR_chimera	30
AAAB_7	full_length	28
AAAB_8	ambiguous_deletion	7
AAAB_8	full_length	108
AAAB_8	PCR_chimera	31
AAAB_9	full_length	147
AAAB_9	ambiguous_deletion	25
AAAB_9	PCR_chimera	321
AAAB_9	spacer_not_cloned	28
AAAL_1	full_length	12
AAAL_1	PCR_chimera	5
AAAL_1	ambiguous_deletion	3
AAAL_10	PCR_chimera	677
AAAL_10	full_length	304
AAAL_10	spacer_not_cloned	29
AAAL_10	ambiguous_deletion	4
AAAL_2	full_length	359
AAAL_2	PCR_chimera	27
AAAL_2	ambiguous_deletion	2
AAAL_2	spacer_not_cloned	1
AAAL_3	full_length	59
AAAL_3	PCR_chimera	18
AAAL_3	spacer_not_cloned	1
AAAL_4	spacer_not_cloned	14
AAAL_4	full_length	82
AAAL_4	PCR_chimera	149
AAAL_5	spacer_not_cloned	13
AAAL_5	full_length	77
AAAL_5	PCR_chimera	20
AAAL_6	PCR_chimera	186
AAAL_6	full_length	37
AAAL_6	spacer_not_cloned	5
AAAL_6	ambiguous_deletion	1
AAAL_7	full_length	121
AAAL_7	spacer_not_cloned	5
AAAL_7	ambiguous_deletion	1
AAAL_7	PCR_chimera	21
AAAL_8	full_length	55
AAAL_8	PCR_chimera	44
AAAL_8	ambiguous_deletion	17
AAAL_9	spacer_not_cloned	17
AAAL_9	full_length	170
AAAL_9	PCR_chimera	146
AAAS_1	ambiguous_deletion	2
AAAS_1	full_length	159
AAAS_1	PCR_chimera	19
AAAS_10	PCR_chimera	63
AAAS_10	spacer_not_cloned	4
AAAS_10	ambiguous_deletion	1
AAAS_10	full_length	220
AAAS_2	full_length	305
AAAS_2	PCR_chimera	259
AAAS_2	spacer_not_cloned	19
AAAS_2	ambiguous_deletion	2
AAAS_3	ambiguous_deletion	6
AAAS_3	full_length	18
AAAS_3	PCR_chimera	265
AAAS_3	spacer_not_cloned	8
AAAS_4	ambiguous_deletion	855
AAAS_4	spacer_not_cloned	418
AAAS_4	full_length	79
AAAS_4	PCR_chimera	31
AAAS_5	ambiguous_deletion	1
AAAS_5	spacer_not_cloned	1
AAAS_5	full_length	378
AAAS_5	PCR_chimera	64
AAAS_6	PCR_chimera	303
AAAS_6	full_length	90
AAAS_7	full_length	586
AAAS_7	PCR_chimera	194
AAAS_7	ambiguous_deletion	4
AAAS_7	spacer_not_cloned	3
AAAS_8	ambiguous_deletion	17
AAAS_8	spacer_not_cloned	17
AAAS_8	full_length	96
