reporter	best_category	count
7pcx4_13	PCR_chimera	710
7pcx4_13	full_length	52
7pcx4_14	PCR_chimera	198
7pcx4_14	full_length	9
7pcx4_15	full_length	71
7pcx4_16	ambiguous_deletion	18
7pcx4_16	PCR_chimera	8
7pcx4_16	full_length	8
7pcx4_17	full_length	31
7pcx4_17	ambiguous_deletion	20
7pcx4_17	PCR_chimera	2
7pcx4_18	PCR_chimera	60
7pcx4_18	full_length	48
7pcx4_19	full_length	33
7pcx4_19	PCR_chimera	3
7pcx4_19	ambiguous_deletion	2
7pcx4_2	PCR_chimera	166
7pcx4_2	full_length	33
7pcx4_2	ambiguous_deletion	5
7pcx4_20	PCR_chimera	14
7pcx4_20	full_length	12
7pcx4_20	ambiguous_deletion	1
7pcx4_21	PCR_chimera	47
7pcx4_21	full_length	5
7pcx4_21	ambiguous_deletion	3
7pcx4_22	full_length	8
7pcx4_22	ambiguous_deletion	3
7pcx4_23	PCR_chimera	96
7pcx4_24	full_length	33
7pcx4_24	ambiguous_deletion	18
7pcx4_25	PCR_chimera	188
7pcx4_25	full_length	29
7pcx4_26	full_length	36
7pcx4_26	PCR_chimera	5
7pcx4_26	ambiguous_deletion	1
7pcx4_27	PCR_chimera	82
7pcx4_27	ambiguous_deletion	9
7pcx4_27	full_length	2
7pcx4_28	PCR_chimera	160
7pcx4_28	ambiguous_deletion	40
7pcx4_29	full_length	61
7pcx4_29	ambiguous_deletion	20
7pcx4_29	PCR_chimera	13
7pcx4_3	PCR_chimera	4
7pcx4_3	full_length	3
7pcx4_30	full_length	90
7pcx4_30	PCR_chimera	33
7pcx4_30	ambiguous_deletion	4
7pcx4_31	PCR_chimera	186
7pcx4_31	ambiguous_deletion	27
7pcx4_31	full_length	1
7pcx4_32	PCR_chimera	48
7pcx4_32	full_length	43
7pcx4_32	ambiguous_deletion	1
7pcx4_33	full_length	6
7pcx4_33	ambiguous_deletion	1
7pcx4_34	full_length	37
7pcx4_34	PCR_chimera	12
7pcx4_35	PCR_chimera	149
7pcx4_35	full_length	36
7pcx4_36	PCR_chimera	104
7pcx4_36	full_length	50
7pcx4_36	ambiguous_deletion	25
7pcx4_37	full_length	35
7pcx4_37	PCR_chimera	8
7pcx4_37	ambiguous_deletion	1
7pcx4_38	full_length	39
7pcx4_38	PCR_chimera	14
7pcx4_38	ambiguous_deletion	3
7pcx4_39	full_length	25
7pcx4_4	PCR_chimera	75
7pcx4_4	ambiguous_deletion	67
7pcx4_4	full_length	19
7pcx4_40	full_length	16
7pcx4_40	PCR_chimera	10
7pcx4_41	full_length	30
7pcx4_41	PCR_chimera	10
7pcx4_42	PCR_chimera	215
7pcx4_42	full_length	12
7pcx4_42	ambiguous_deletion	1
7pcx4_43	PCR_chimera	12
7pcx4_43	full_length	10
7pcx4_44	full_length	74
7pcx4_44	ambiguous_deletion	5
7pcx4_44	PCR_chimera	3
7pcx4_45	full_length	112
7pcx4_45	PCR_chimera	108
7pcx4_45	ambiguous_deletion	3
7pcx4_46	full_length	14
7pcx4_46	PCR_chimera	4
7pcx4_46	ambiguous_deletion	2
7pcx4_47	full_length	80
7pcx4_47	ambiguous_deletion	2
7pcx4_48	full_length	25
7pcx4_48	PCR_chimera	9
7pcx4_49	PCR_chimera	147
7pcx4_5	full_length	51
7pcx4_5	PCR_chimera	34
7pcx4_50	PCR_chimera	157
7pcx4_50	full_length	23
7pcx4_50	ambiguous_deletion	14
7pcx4_6	full_length	39
7pcx4_6	PCR_chimera	10
7pcx4_6	ambiguous_deletion	2
7pcx4_7	full_length	24
7pcx4_7	ambiguous_deletion	2
7pcx4_8	ambiguous_deletion	69
7pcx4_8	full_length	31
7pcx4_8	PCR_chimera	13
7pcx4_9	full_length	28
7pcx4_9	ambiguous_deletion	17
7pcx4_9	PCR_chimera	6
AAAA_1	PCR_chimera	29
AAAA_10	PCR_chimera	203
AAAA_2	PCR_chimera	176
AAAA_3	PCR_chimera	7
AAAA_4	PCR_chimera	62
AAAA_4	full_length	40
AAAA_5	PCR_chimera	6
AAAA_6	PCR_chimera	4
AAAA_7	PCR_chimera	13
AAAA_8	PCR_chimera	156
AAAA_8	ambiguous_deletion	1
AAAA_9	full_length	9
AAAA_9	PCR_chimera	7
AAAA_9	ambiguous_deletion	3
AAAB_1	PCR_chimera	27
AAAB_10	ambiguous_deletion	41
AAAB_10	PCR_chimera	28
AAAB_2	PCR_chimera	6
AAAB_3	PCR_chimera	23
AAAB_4	PCR_chimera	67
AAAB_5	PCR_chimera	176
AAAB_6	PCR_chimera	25
AAAB_6	ambiguous_deletion	3
AAAB_7	ambiguous_deletion	15
AAAB_7	PCR_chimera	5
AAAB_8	PCR_chimera	45
AAAB_8	full_length	38
AAAB_8	ambiguous_deletion	3
AAAB_9	PCR_chimera	52
AAAB_9	ambiguous_deletion	30
AAAL_1	PCR_chimera	107
AAAL_10	PCR_chimera	131
AAAL_10	ambiguous_deletion	4
AAAL_10	full_length	1
AAAL_2	PCR_chimera	6
AAAL_3	PCR_chimera	27
AAAL_3	ambiguous_deletion	4
AAAL_4	PCR_chimera	16
AAAL_5	PCR_chimera	147
AAAL_6	PCR_chimera	513
AAAL_7	PCR_chimera	67
AAAL_8	ambiguous_deletion	53
AAAL_8	PCR_chimera	6
AAAL_9	PCR_chimera	3
AAAL_9	full_length	1
AAAS_1	PCR_chimera	8
AAAS_1	ambiguous_deletion	4
AAAS_1	full_length	1
AAAS_10	PCR_chimera	91
AAAS_10	full_length	3
AAAS_10	ambiguous_deletion	2
AAAS_2	PCR_chimera	49
AAAS_2	ambiguous_deletion	1
AAAS_2	full_length	1
AAAS_3	PCR_chimera	121
AAAS_3	ambiguous_deletion	11
AAAS_4	PCR_chimera	36
AAAS_4	ambiguous_deletion	11
AAAS_6	PCR_chimera	18
AAAS_7	PCR_chimera	57
AAAS_7	ambiguous_deletion	2
AAAS_8	ambiguous_deletion	49
AAAS_8	PCR_chimera	12
AAAS_8	full_length	1
AAAS_9	PCR_chimera	164
AAAp_1	PCR_chimera	38
AAAp_10	PCR_chimera	2
AAAp_10	full_length	1
AAAp_2	PCR_chimera	16
AAAp_2	full_length	1
AAAp_3	PCR_chimera	67
AAAp_3	ambiguous_deletion	7
AAAp_4	PCR_chimera	18
AAAp_5	PCR_chimera	264
AAAp_6	PCR_chimera	105
AAAp_6	full_length	12
AAAp_6	ambiguous_deletion	1
AAAp_7	PCR_chimera	47
AAAp_7	ambiguous_deletion	3
AAAp_7	full_length	1
AAAp_8	PCR_chimera	6
AAAp_8	full_length	4
AAAp_9	PCR_chimera	18
AABA_1	full_length	215
AABA_1	PCR_chimera	201
AABA_1	ambiguous_deletion	14
AABA_10	full_length	364
AABA_10	PCR_chimera	144
AABA_2	PCR_chimera	353
AABA_2	full_length	309
AABA_3	full_length	98
AABA_3	ambiguous_deletion	13
AABA_3	PCR_chimera	5
AABA_4	full_length	70
AABA_5	full_length	252
AABA_5	PCR_chimera	44
AABA_5	ambiguous_deletion	3
AABA_6	full_length	355
AABA_6	PCR_chimera	15
AABA_7	full_length	197
AABA_7	PCR_chimera	137
AABA_8	full_length	263
AABA_8	PCR_chimera	57
AABA_8	ambiguous_deletion	5
AABA_9	full_length	193
AABA_9	ambiguous_deletion	33
AABA_9	PCR_chimera	9
AABA_9	PRE-SPACER_mispriming	1
AABB_1	full_length	203
AABB_1	PCR_chimera	9
AABB_1	ambiguous_deletion	1
AABB_10	full_length	88
AABB_10	PCR_chimera	47
AABB_2	full_length	306
AABB_3	full_length	299
AABB_3	PCR_chimera	25
AABB_3	ambiguous_deletion	3
